CO_ENTIDADE,NO_ENTIDADE
24018970,ESC MUL ALFREDO SILVERIO
24019003,ESCOLA MUNICIPAL ENEAS BARBOSA
24019020,ESC MUL FRANCELINO JOSE DO NASCIMENTO
24019062,ESC MUL JOAO ANTONIO DE OLIVEIRA
24019070,ESC MUL JOAO DELMIRO
24019089,ESC MUL JOAO LIBERAL
24019127,ESC MUL MANOEL JOAQUIM DE SA
24019178,ESCOLA MUNICIPAL FILOMENA SAMPAIO DE SOUZA
24063967,ESCOLA MUNICIPAL PROFESSORA ELVIRA GOMES DE MOURA
24081957,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PORTAL DO SABER
24232203,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULO
